年,15372663,1.0
日,8973206,1.713173975945721
月,7232285,2.125561008726841
大,5302214,2.8992913149110917
本,4611410,3.3336144476418275
学,4524693,3.3975040958579954
人,4107960,3.742164724096632
国,3523544,4.362841218954553
中,3432932,4.477998107739973
一,3311714,4.641905369847759
出,3138463,4.898150145469295
部,3112872,4.938417962576039
作,2948633,5.2134880807479265
会,2897708,5.30511114301372
名,2818794,5.453631233782958
市,2808052,5.474493705957012
地,2785976,5.517873449017507
行,2763918,5.561909940888261
時,2498850,6.151895071732997
場,2452465,6.268249699791842
生,2448210,6.279143945985026
上,2406120,6.38898433993317
子,2406063,6.389135695948111
社,2326220,6.608430415008039
田,2253108,6.82287000889438
合,2240152,6.862330324013728
後,2216271,6.936274038689312
代,2213674,6.94441141739931
第,2212749,6.947314403938269
道,2199883,6.987945722567973
東,2197389,6.995876924841255
発,2130964,7.213947771994271
者,2100181,7.319684827164897
山,2098380,7.325967174677609
高,2093195,7.3441141413007385
戦,2082899,7.380416909317255
事,2053559,7.485863810097494
用,2010532,7.646067309547921
長,1965351,7.821840984129553
間,1958049,7.851010367973426
県,1954496,7.865282405285045
画,1920502,8.004502468625391
所,1875765,8.19540987277191
立,1861756,8.25707718949207
成,1853183,8.295275210273351
分,1844933,8.332369251349506
業,1835139,8.376838484714236
校,1780391,8.63443086378217
新,1773892,8.666064788611708
手,1761735,8.72586569489736
川,1743353,8.81787165307313
同,1740395,8.832858632666722
目,1738818,8.840869487203376
開,1728373,8.894297122206838
前,1693421,9.077874314774649
関,1646723,9.335305937914269
小,1631653,9.421527126172048
動,1615143,9.517834024603394
定,1594776,9.639386973468374
線,1594465,9.641267133489917
内,1586368,9.690477241094122
主,1577936,9.742260142363188
自,1555505,9.88274740357633
文,1539519,9.985367507643621
和,1516298,10.138286141642341
的,1513145,10.15941168889961
車,1504291,10.219208251594937
駅,1504264,10.219391675929225
物,1479934,10.387397681247947
体,1465749,10.48792323924492
通,1465551,10.489340186728404
野,1451091,10.593865581138605
町,1449528,10.605288756064043
公,1438980,10.683027561189176
家,1436242,10.7033933000149
号,1428709,10.759827928570479
下,1426810,10.77414862525494
入,1419724,10.827923596417332
設,1419707,10.82805325324169
連,1416626,10.851603034251808
現,1400030,10.980238280608273
外,1399661,10.983133058647773
放,1372845,11.197668345661747
送,1369640,11.22387123623726
在,1367755,11.239339647817044
方,1354022,11.353333254555686
番,1348522,11.399638270640004
式,1336552,11.50173206878595
全,1333988,11.523839045028891
機,1321395,11.633662152497928
島,1314254,11.69687366369058
村,1311004,11.725870401615861
選,1304259,11.786510961396472
回,1276322,12.044502092732085
京,1271925,12.08613951294298
平,1259935,12.201155615170624
表,1256174,12.23768602120407
度,1252151,12.277004131290875
原,1248082,12.317029650295414
記,1247381,12.323951543273466
世,1237218,12.425185375576495
女,1235156,12.445928287600918
明,1232019,12.477618445819424
北,1227711,12.52140202376618
化,1220761,12.59268849512722
当,1220696,12.593359034518013
三,1187797,12.94216351784017
最,1186017,12.961587397145236
数,1177737,13.05271295713729
組,1177721,13.052890285559993
対,1169045,13.149761557510617
曲,1150161,13.365661850819146
語,1149141,13.37752547337533
法,1143372,13.445023142074495
初,1143268,13.446246199491283
海,1134418,13.551145168712061
演,1127791,13.630772900298016
書,1126325,13.648514416354072
神,1121949,13.701748475198071
力,1120025,13.725285596303653
教,1116651,13.766757026143353
位,1106396,13.894358801007957
区,1105644,13.903809001812519
理,1097633,14.005285008741538
西,1090024,14.103050024586615
期,1089029,14.11593538831381
見,1077031,14.273185265790865
以,1073743,14.316892403489476
性,1063550,14.454104649522824
軍,1043121,14.737181017350816
多,1032659,14.886485277327752
実,988866,15.545749373524826
水,977241,15.730677488971503
特,977108,15.732818685344915
員,969498,15.856312235816887
経,961367,15.99042093186057
都,946176,16.24714957893669
品,931286,16.506919464052935
元,930880,16.51411889824682
要,930736,16.516673901084733
編,925799,16.60475221943424
制,916699,16.76958630913746
身,916339,16.776174538025774
治,914625,16.80761295612956
金,910638,16.881200872355425
勝,894549,17.184819389435347
使,893970,17.19594952850767
正,874983,17.569099056781674
木,873247,17.604026123193094
面,873241,17.604147079672163
政,868648,17.697229487663588
点,866670,17.73761985530825
南,857664,17.923875783523616
鉄,856901,17.93983552359024
置,854804,17.98384541953477
民,845384,18.184236985795803
電,840633,18.28700871843004
加,835935,18.389782698415548
共,827528,18.576607679740142
等,821915,18.70347055352439
科,821872,18.704449111297137
売,821366,18.71597192968786
形,817272,18.809726749478752
版,812714,18.915218637798784
二,804858,19.09984494159218
能,804500,19.108344313238035
映,801184,19.18743135159963
口,798784,19.245081273535774
王,791045,19.433360933954454
務,780740,19.68986218203243
像,778110,19.756413617611905
活,777769,19.76507549156626
気,772520,19.89937218453891
美,770212,19.959002196797766
来,770116,19.96149021705821
界,769037,19.989497254358373
優,768534,20.002580237178837
州,760189,20.222159226192435
参,759849,20.23120777944039
天,757956,20.281735351392427
賞,757149,20.303352444499033
取,756744,20.314218546826933
空,755773,20.34031779383492
称,751508,20.455754296694113
話,747254,20.572205702478676
知,737727,20.83787498627541
役,735562,20.89920768065778
音,730384,21.047370971981863
言,723964,21.234015779790155
運,723536,21.246576535238052
重,721431,21.308570050358245
集,720795,21.327371860237655
楽,716560,21.45342050909903
受,713455,21.5467871134129
次,712142,21.586513644750625
路,710241,21.644291163140398
持,707292,21.734535382840466
結,706388,21.76235015317361
別,703007,21.86701270399868
団,697824,22.02942719081029
型,694010,22.15049206783764
報,693664,22.161540745951932
岡,692194,22.20860481310153
郡,691043,22.2455954260444
