煮,5.02,67,10986
準,4.97,111,265537
線,4.92,1716,1594465
粧,4.88,65,14420
海,4.87,1658,1134418
桟,4.87,64,5589
濫,4.87,55,4581
桁,4.82,28,18744
労,4.78,197,141898
那,4.78,916,93308
払,4.78,228,65103
戒,4.74,336,48767
溺,4.70,38,7046
麦,4.69,129,23554
戯,4.68,226,27848
痴,4.68,157,13715
毀,4.68,46,3057
阪,4.62,355,485792
吉,4.59,1362,415887
臨,4.59,451,98920
堂,4.56,979,243913
閣,4.54,333,114994
東,4.53,4656,2197389
嘱,4.53,12,7138
賄,4.50,8,5984
玄,4.49,205,45558
郊,4.47,107,35951
召,4.46,191,30442
諾,4.46,37,11017
彙,4.44,43,5000
込,4.43,500,304870
坑,4.42,79,7526
刷,4.39,76,38903
舗,4.38,132,92215
通,4.37,1463,1465551
盛,4.33,351,127193
旋,4.33,165,34441
遇,4.33,43,29826
読,4.32,363,200261
侮,4.29,10,4616
停,4.27,144,207030
乳,4.26,142,64942
奈,4.25,916,284189
恒,4.24,143,43943
屈,4.19,204,26327
軌,4.18,237,95635
紺,4.18,38,10230
局,4.17,433,644428
有,4.15,992,678485
巨,4.14,435,118021
膝,4.14,34,11514
箱,4.13,136,55100
壇,4.12,83,18546
衷,4.12,24,1797
謄,4.12,15,656
製,4.11,597,660048
諸,4.10,388,161858
各,4.09,155,373225
館,4.06,634,651522
京,4.04,919,1271925
炊,4.03,67,5757
廷,4.01,297,34022
汗,4.01,75,9096
院,4.00,1813,676298
貨,4.00,259,132631
壱,3.99,64,11922
碁,3.98,43,18405
蓄,3.98,98,18011
河,3.97,1461,390838
潟,3.97,183,125252
昧,3.97,88,14771
迷,3.96,254,46257
塚,3.94,669,183194
虎,3.94,213,41844
士,3.92,1132,652186
箇,3.89,190,34138
忘,3.89,157,27125
萎,3.88,28,1985
璃,3.86,154,10494
鉛,3.82,33,13637
文,3.81,1630,1539519
妄,3.81,83,10244
北,3.80,2900,1227711
思,3.80,822,301835
塞,3.80,187,35546
濃,3.79,156,73577
趣,3.79,41,49351
楼,3.79,142,16720
瓶,3.79,85,16327
新,3.78,3494,1773892
交,3.78,713,676159
遷,3.77,156,41644
瑠,3.77,231,14129
窃,3.76,22,3639
暴,3.75,265,95600
眼,3.75,197,67382
紙,3.72,305,146250
踏,3.68,203,50910
平,3.67,2059,1259935
福,3.67,1044,531376
熊,3.66,409,149313
圧,3.65,400,146516
疑,3.65,64,71396
掃,3.65,134,25635
勃,3.65,70,19080
斗,3.63,190,36665
園,3.58,1294,580785
怒,3.58,81,48103
窒,3.58,37,8014
飽,3.56,73,8573
涙,3.55,45,28393
鳴,3.51,200,56196
四,3.50,3144,343521
維,3.49,478,76207
葬,3.47,79,46146
軸,3.45,54,52528
祭,3.44,311,206892
三,3.43,7484,1187797
醒,3.42,111,12757
産,3.41,621,638088
淑,3.41,90,9667
商,3.40,605,336428
釣,3.39,118,24631
武,3.38,898,540459
漬,3.36,90,8548
倒,3.35,219,128180
幹,3.35,138,115317
梨,3.34,218,78919
酵,3.34,32,24387
遍,3.34,44,10575
漆,3.34,53,9950
愉,3.34,53,3712
衝,3.33,176,53420
吸,3.31,201,80622
狙,3.31,37,44190
等,3.30,1605,821915
扱,3.30,116,146306
鮮,3.30,266,106811
特,3.29,457,977108
混,3.29,231,90720
侯,3.26,139,32794
机,3.26,84,4811
危,3.25,120,93163
勲,3.24,250,51221
媛,3.24,50,39061
款,3.24,61,4474
嫡,3.22,47,14601
棟,3.21,47,36405
歓,3.21,157,14686
姫,3.20,340,113196
益,3.20,185,99674
被,3.17,155,127243
捨,3.17,245,34471
繊,3.16,68,15934
学,3.15,6795,4524693
刀,3.15,328,66157
礁,3.15,101,12112
柵,3.15,17,5143
機,3.14,1039,1321395
須,3.13,972,105995
責,3.13,73,63458
鉢,3.13,110,9204
札,3.11,229,134606
霜,3.11,57,5749
糧,3.10,23,12947
陶,3.09,83,21328
舶,3.09,47,18533
宵,3.09,29,4169
屋,3.08,2029,572315
肥,3.08,135,34435
伎,3.06,149,18294
餓,3.06,71,7322
都,3.05,753,946176
掘,3.05,69,42341
苛,3.05,42,4584
嚇,3.05,16,2068
埋,3.04,54,48131
邪,3.04,86,28099
昔,3.04,34,27854
隔,3.03,148,40706
妃,3.03,101,31763
沖,3.02,286,127837
抱,3.02,228,68715
粉,3.02,158,31331
朝,3.01,952,538333
豆,3.01,227,49511
顧,3.01,260,39737
斥,3.01,50,3549
虞,3.01,29,2521
葉,2.99,1056,394002
百,2.99,885,186379
俳,2.99,126,124482
鉱,2.99,152,60342
尽,2.99,174,32164
専,2.97,788,339076
羅,2.97,470,65450
拳,2.97,137,52903
洪,2.97,81,18615
犯,2.96,89,101529
肯,2.95,43,5112
序,2.93,75,50830
射,2.92,183,181471
磨,2.92,199,38590
錯,2.92,103,10816
浮,2.90,454,65219
械,2.90,130,59220
闘,2.89,428,262909
打,2.88,431,332759
辞,2.87,105,116798
踊,2.86,35,41855
褐,2.86,68,13589
報,2.85,411,693664
古,2.85,1264,557800
救,2.84,280,114984
芯,2.84,16,4082
拙,2.84,28,2145
辱,2.83,61,11561
寂,2.83,63,7731
艶,2.83,41,6646
崎,2.82,1640,509490
併,2.82,143,231269
買,2.80,122,93741
添,2.80,324,33465
敢,2.80,78,14180
神,2.79,2213,1121949
印,2.78,337,129652
蜜,2.78,50,9160
岡,2.77,1166,692194
硫,2.76,75,17553
洞,2.75,307,48449
僚,2.75,65,44643
牙,2.75,80,19692
昨,2.75,30,8081
漂,2.74,87,12675
庸,2.74,46,7254
本,2.73,3666,4611410
縄,2.73,177,96396
恥,2.72,31,12720
走,2.71,241,297823
藩,2.68,176,175854
虐,2.68,89,24144
装,2.67,212,482066
吹,2.67,480,107030
大,2.66,10377,5302214
炭,2.66,174,55571
璧,2.66,54,7002
頓,2.65,70,9435
鹿,2.64,576,185737
延,2.63,320,169588
