2639442	人
2197348	一
1662944	見
1515239	言
1481337	出
1387086	子
1273536	大
1215240	思
1185236	手
1151371	分
1139432	彼
1136862	中
1133166	女
1129902	気
1102857	上
1054486	間
1037336	日
982668	二
972701	自
938621	行
908082	時
893258	何
875140	事
867984	生
858539	私
850685	前
760356	来
756519	方
742415	本
733485	目
730648	十
715820	三
707519	者
674964	下
674210	年
662881	話
652845	知
641353	入
628551	立
615676	部
607723	家
584786	心
581065	今
575924	男
565431	小
555765	後
550811	顔
544461	長
535287	体
532795	物
519280	合
494099	声
490987	地
480006	屋
479536	場
477595	口
472507	身
470323	聞
467317	的
465161	持
464877	会
458889	意
455639	度
454816	当
448173	同
441928	感
432954	先
421698	動
417235	明
407479	少
406907	不
401866	通
399806	力
397021	山
396711	考
390286	向
387167	実
382714	田
381846	無
379542	五
379427	理
377578	国
375039	死
370558	名
369501	神
360156	所
358418	学
349846	取
348539	面
347595	書
343752	笑
341326	外
338518	代
338514	四
336912	月
333873	道
333244	高
332633	金
330980	美
328427	内
324503	世
322441	頭
319513	戦
319395	全
319215	作
316167	近
313231	切
313041	様
309507	相
305815	足
305025	真
304786	葉
303918	最
302523	郎
289432	情
289294	発
287653	変
285895	夜
285327	食
281495	白
280634	性
280472	然
280139	信
279925	主
279698	味
278933	用
276034	新
274501	音
271611	対
271447	夫
270442	文
270071	木
265685	殺
264662	着
263929	引
263603	車
263359	水
262873	現
260878	込
260334	親
259592	悪
259086	以
258967	色
258906	野
256329	空
255454	教
253895	父
252193	結
251438	君
250702	開
250197	正
249595	連
249278	川
249200	関
248557	八
248363	仕
246743	歩
246537	返
246405	落
240703	問
238958	太
237676	風
235886	僕
235680	帰
235010	次
233642	軍
232468	俺
232439	天
228782	違
228620	重
228138	光
227512	機
224950	母
224787	使
221306	別
221190	数
220773	待
220064	直
219241	命
218159	回
217437	六
216921	多
211822	表
211555	馬
210722	平
210568	社
208211	原
208079	強
207495	兵
206964	電
206220	士
204782	要
201460	御
200838	受
199237	好
199196	誰
198583	指
197870	眼
197342	決
197192	王
196846	起
196199	七
195945	初
195313	海
195075	安
194229	残
194146	調
192699	飛
191767	解
191504	流
191161	東
189655	姿
189318	呼
188006	助
187878	早
187629	定
187213	第
186093	突
185834	乗
183822	村
183078	若
182986	息
182972	九
181067	確
180399	語
180274	石
179270	愛
178559	首
177752	半
176865	界
176551	由
176437	説
176071	置
174536	朝
174385	法
173243	室
171876	黒
171337	警
168705	答
168253	覚
167082	張
166057	記
166017	続
165690	想
165282	両
165032	成
164973	遠
164438	門
164413	得
164157	振
163807	背
162460	必
162431	配
161964	他
161160	化
160935	元
160392	運
160166	在
159885	苦
158990	和
158570	楽
158202	付
158076	島
156632	百
156351	視
155644	能
155616	終
155597	業
155586	進
155065	員
154974	件
154788	線
153682	隊
153029	過
152398	井
150185	番
150107	形
149835	居
149401	供
148846	火
148713	急
148611	衛
148506	打
148386	店
147822	伝
147437	深
147336	走
147216	集
146737	始
146273	千
146121	点
145733	消
144212	失
143717	吉
143690	赤
143645	青
143339	戻
142951	撃
142688	公
142589	横
142269	戸
141610	土
141381	船
141118	反
140723	止
140014	加
139929	花
139307	広
139158	放
139076	達
138611	勝
138353	離
137216	老
137020	古
136459	右
136172	万
135696	追
135570	師
135440	魔
135235	血
135192	台
134659	題
134140	経
133975	常
133156	有
132988	娘
132975	利
132456	左
132390	校
131872	町
131538	読
131432	状
130901	寄
130826	京
130647	断
130048	存
129461	恐
129369	官
129277	奥
129112	座
128737	良
127791	押
127311	紙
126929	申
126831	階
126735	態
126072	抜
126068	転
125834	病
125676	果
125276	役
124633	判
124239	可
124113	側
123621	絶
123417	浮
123241	逃
122827	画
122822	藤
122761	寝
122657	守
122632	城
122446	氏
122431	活
121855	義
120716	西
120549	佐
120171	客
119638	武
119472	段
119335	品
118479	告
117789	鳴
117775	報
117550	友
117291	勢
116836	組
116255	係
116189	応
115908	胸
115495	計
115303	住
115174	路
114717	治
114586	望
114207	貴
113962	議
113604	期
113437	術
113132	特
112676	腕
112354	服
111537	暗
111235	飲
111061	敵
110776	頼
110644	江
110462	渡
109742	送
109662	都
109488	民
109391	細
108959	静
108532	察
108158	北
108078	松
107946	去
107696	論
107270	質
107140	念
106725	識
106521	片
106345	族
106326	市
106110	根
105727	満
105484	将
105225	降
105127	器
105029	宮
104949	抱
104701	草
104400	兄
104225	幸
103326	耳
103190	介
103136	我
103044	犯
102927	頃
102892	酒
102591	影
102265	緒
101766	交
101442	務
101026	保
100742	瞬
100675	格
99628	売
99592	志
99356	字
99275	冷
99265	茶
98360	歳
98293	夢
97703	素
97684	院
97465	政
96808	際
96751	倒
96596	腹
96424	精
96218	予
95209	買
94633	黙
94406	異
94326	肉
94146	谷
94082	熱
94010	妙
93783	叫
93498	髪
93386	約
92687	団
92683	肩
92292	痛
91853	単
91429	隠
